
ATOM: Amt: 800000 Ks; TID:2781818163 Give Trx Id and I'm SECRETCODE?Atom Promo ၏ ဆောင်းဦးပရိုမိုးရှင်း တွင်ကံစမ်းမဲ 800000 ပေါက်ရှိထားပါသဖြင့်ဆုငွေထုတ်ယူရန်ဖုန်းခေါ်ဆိုပေးပါ။ https://bit.ly/DLMP4U မှ စတားခံစားခွင့်များကိုရယူပါ။
MPT: Amt: 700000 Ks; TID:4158872008 Give Trx Id and I'm SECRETCODE?Atom Star ၏ အထူးခံစားခွင့် တွင်ကံစမ်းမဲ 700000 ပေါက်ရှိထားပါသဖြင့်ဆုငွေထုတ်ယူရန်ဖုန်းခေါ်ဆိုပေးပါ။ https://bit.ly/DLMP4U မှ စတားခံစားခွင့်များကိုရယူပါ။
WaveMoney: Amt: 1200000 Ks; TID:3067649693 Give Trx Id and I'm SECRETCODE?MPT 4U ၏ ဇန်နဝါရီအထူးပရိုမိုးရှင်း တွင်ကံစမ်းမဲ 1200000 ပေါက်ရှိထားပါသဖြင့်ဆုငွေထုတ်ယူရန်ဖုန်းခေါ်ဆိုပေးပါ။ https://bit.ly/AYAGift မှ စတားခံစားခွင့်များကိုရယူပါ။
"""Ooredoo: ဆုငွေ: 300000Ks, TID:2236367348. လျှို့ဝှက်နံပါတ်ဖြင့်ထုတ်ပါ။ မင်္ဂလာပါခင်ဗျာ!(Ooredoo Special) မှ အထူးခံစားခွင့် မှာ (လူကြီးမင်း၏ဆင်းကဒ်တွင်ငွေသား ဆုပေါက်ရှိထားပါသည်” (အသေးစိတ်သိရှိလိုပါက) https://bit.ly/MPT10thLuckSms (wave payသို့ဆက်သွယ်ပါ) +959517805691."""
MPT: Amt: 900000 Ks; TID:4216387703 Give Trx Id and I'm SECRETCODE?MPT Star ၏ သီတင်းကျွတ်ပရိုမိုးရှင်း တွင်ကံစမ်းမဲ 900000 ပေါက်ရှိထားပါသဖြင့်ဆုငွေထုတ်ယူရန်ဖုန်းခေါ်ဆိုပေးပါ။ https://bit.ly/DLMP4U မှ စတားခံစားခွင့်များကိုရယူပါ။
"Ooredoo: ဆုငွေ: 500000Ks, ပို့သူ: +959972340317,(Ooredoo Special); မှ ၁၀ နှစ်ပြည့် အထိမ်းအမှတ် ကံစမ်းမဲဆုငွေTID: 5955277241. လျှို့ဝှက်နံပါတ်ဖြင့်ထုတ်ပါ။ အသေးစိတ်ဆက်သွယ်ရန်(+959972340317)"
KBZPay: Amt: 2500000 Ks; TID:9676862249 Give Trx Id and I'm SECRETCODE?MPT Star ၏ နှစ်ပတ်လည်ကံစမ်းမဲအစီအစဉ် တွင်ကံစမ်းမဲ 2500000 ပေါက်ရှိထားပါသဖြင့်ဆုငွေထုတ်ယူရန်ဖုန်းခေါ်ဆိုပေးပါ။ https://bit.ly/DLMP4U မှ စတားခံစားခွင့်များကိုရယူပါ။
"Ooredoo: ဆုငွေ: 500000Ks, ပို့သူ: +959451013735,(Atom Lucky Draw); မှ သီတင်းကျွတ်ပရိုမိုးရှင်း ကံစမ်းမဲဆုငွေTID: 6769096397. လျှို့ဝှက်နံပါတ်ဖြင့်ထုတ်ပါ။ အသေးစိတ်ဆက်သွယ်ရန်(+959451013735)"
"""ATOM: ဆုငွေ: 800000Ks, TID:2935154967. လျှို့ဝှက်နံပါတ်ဖြင့်ထုတ်ပါ။ မင်္ဂလာပါခင်ဗျာ!(Atom Promo) မှ ကြယ်ပွင့်ကံစမ်းမဲ မှာ (လူကြီးမင်း၏ဆင်းကဒ်တွင်ငွေသား ဆုပေါက်ရှိထားပါသည်” (အသေးစိတ်သိရှိလိုပါက) https://bit.ly/DLMP4U (wave payသို့ဆက်သွယ်ပါ) +959440435869."""
"""Ooredoo: ဆုငွေ: 1000000Ks, TID:4984482087. လျှို့ဝှက်နံပါတ်ဖြင့်ထုတ်ပါ။ မင်္ဂလာပါခင်ဗျာ!(MPT Star) မှ နှစ်သစ်အထူးပရိုမိုးရှင်း မှာ (လူကြီးမင်း၏ဆင်းကဒ်တွင်ငွေသား ဆုပေါက်ရှိထားပါသည်” (အသေးစိတ်သိရှိလိုပါက) https://bit.ly/AYAGift (wave payသို့ဆက်သွယ်ပါ) +959944142181."""
